,x,y,date,label,generated,CAT,year
1110,6.488200000000003,14.209860000000004,2020-06-09,0.0,1,PseudoAbsence,2020
4771,26.388200000000005,-30.39014,2020-10-24,0.0,1,PseudoAbsence,2020
2981,20.1882,-34.290139999999994,2020-11-28,0.0,1,PseudoAbsence,2020
5523,66.6882,36.40986,2020-06-08,0.0,1,PseudoAbsence,2020
974,23.288200000000003,1.8098600000000005,2020-11-24,0.0,1,PseudoAbsence,2020
5678,17.188200000000002,16.409860000000002,2020-07-25,0.0,1,PseudoAbsence,2020
3693,64.6882,35.90986,2021-04-12,0.0,1,PseudoAbsence,2021
1311,1.8882000000000048,26.709860000000003,2020-09-12,0.0,1,PseudoAbsence,2020
1014,7.688200000000002,32.90986,2020-09-08,0.0,1,PseudoAbsence,2020
727,68.1882,31.109860000000005,2020-02-17,0.0,1,PseudoAbsence,2020
4010,26.288200000000003,-13.090139999999998,2020-08-19,0.0,1,PseudoAbsence,2020
4104,32.6882,-22.39014,2020-12-02,0.0,1,PseudoAbsence,2020
110,29.6882,-9.990139999999997,2020-08-01,0.0,1,PseudoAbsence,2020
3981,28.888200000000005,-31.69014,2021-04-13,0.0,1,PseudoAbsence,2021
6542,-7.611799999999999,11.009860000000003,2021-03-20,0.0,1,PseudoAbsence,2021
2475,23.288200000000003,26.009860000000003,2020-05-11,0.0,1,PseudoAbsence,2020
5865,47.4882,-17.890140000000002,2020-02-07,0.0,1,PseudoAbsence,2020
6328,0.2882000000000033,5.909860000000002,2020-09-20,0.0,1,PseudoAbsence,2020
3377,16.588200000000008,-10.79014,2020-03-20,0.0,1,PseudoAbsence,2020
109,-4.111799999999995,5.609860000000001,2021-02-14,0.0,1,PseudoAbsence,2021
7154,19.088200000000008,21.10986,2020-04-15,0.0,1,PseudoAbsence,2020
3116,-11.811799999999998,9.509860000000003,2020-03-11,0.0,1,PseudoAbsence,2020
2969,21.888200000000005,10.209860000000004,2020-07-22,0.0,1,PseudoAbsence,2020
6473,16.288200000000003,15.60986,2020-06-30,0.0,1,PseudoAbsence,2020
1281,75.5882,37.209860000000006,2020-01-09,0.0,1,PseudoAbsence,2020
4146,21.98820000000001,32.609860000000005,2020-06-27,0.0,1,PseudoAbsence,2020
2716,3.7882000000000033,14.60986,2020-03-03,0.0,1,PseudoAbsence,2020
1219,36.1882,-14.890140000000002,2020-01-10,0.0,1,PseudoAbsence,2020
3806,-0.7117999999999967,24.509860000000003,2020-11-25,0.0,1,PseudoAbsence,2020
480,22.888200000000005,-25.29014,2021-02-13,0.0,1,PseudoAbsence,2021
3069,9.888200000000005,19.709860000000003,2021-03-22,0.0,1,PseudoAbsence,2021
581,6.688200000000002,25.80986,2020-03-23,0.0,1,PseudoAbsence,2020
4489,31.788200000000003,-8.090139999999998,2020-12-18,0.0,1,PseudoAbsence,2020
1398,53.6882,23.40986,2021-03-20,0.0,1,PseudoAbsence,2021
2057,25.088200000000008,7.709860000000003,2020-09-17,0.0,1,PseudoAbsence,2020
3347,22.588200000000008,-25.49014,2020-04-17,0.0,1,PseudoAbsence,2020
5619,19.1882,-24.99014,2020-11-12,0.0,1,PseudoAbsence,2020
5092,20.088200000000008,-23.19014,2020-03-08,0.0,1,PseudoAbsence,2020
3745,23.088200000000008,-4.990139999999997,2020-11-28,0.0,1,PseudoAbsence,2020
