,Unnamed: 0,x,y,date,label,generated,CAT,year
2592,14408,59.802778,22.351667,2020-01-09,1.0,0,,2020
61,6086,6.188200000000002,19.90986,2020-08-03,0.0,1,PseudoAbsence,2020
4317,13072,41.353584,19.179583,2020-01-11,1.0,0,,2020
323,3583,21.6882,0.209859999999999,2020-12-29,0.0,1,PseudoAbsence,2020
3173,11720,41.40505,9.82842,2020-05-30,1.0,0,,2020
3992,10259,36.845278,26.555833,2021-02-15,1.0,0,,2021
1416,4964,22.788200000000003,-30.69014,2020-10-02,0.0,1,PseudoAbsence,2020
1736,2793,28.48820000000001,18.209860000000003,2021-03-11,0.0,1,PseudoAbsence,2021
3754,8990,43.13703,14.9886,2020-01-26,1.0,0,,2020
3442,9811,60.739167,27.044444,2020-04-17,1.0,0,,2020
1027,4100,8.5882,21.709860000000003,2020-03-25,0.0,1,PseudoAbsence,2020
692,6725,-0.0117999999999973,6.909860000000002,2020-06-05,0.0,1,PseudoAbsence,2020
2129,6101,27.088200000000008,23.609860000000005,2021-02-01,0.0,1,PseudoAbsence,2021
3798,12816,75.194924,28.65122,2020-08-05,1.0,0,,2020
387,1346,28.48820000000001,-2.290140000000001,2020-10-31,0.0,1,PseudoAbsence,2020
4416,9412,37.67675,18.399918,2021-04-12,1.0,0,,2021
4268,10590,37.04543,0.908842,2020-04-27,1.0,0,,2020
3434,14156,36.78333,-1.83333,2020-02-09,1.0,0,,2020
2859,12124,64.77863,27.681417,2020-05-07,1.0,0,,2020
613,4618,3.7882000000000033,19.509860000000003,2020-08-16,0.0,1,PseudoAbsence,2020
4252,12040,69.086111,28.554444,2020-03-17,1.0,0,,2020
439,6213,3.688200000000002,36.109860000000005,2020-12-18,0.0,1,PseudoAbsence,2020
530,1201,13.388200000000005,-3.290140000000001,2020-12-31,0.0,1,PseudoAbsence,2020
325,1330,46.28820000000001,-18.29014,2021-03-21,0.0,1,PseudoAbsence,2021
1656,187,7.488200000000006,6.509860000000003,2020-06-27,0.0,1,PseudoAbsence,2020
2947,12570,71.058585,24.755584,2020-07-27,1.0,0,,2020
2513,14406,61.890167,26.124767,2020-03-22,1.0,0,,2020
1607,2200,70.88820000000001,31.209860000000003,2020-11-13,0.0,1,PseudoAbsence,2020
2772,10219,54.143135,26.836933,2020-04-06,1.0,0,,2020
3685,13087,50.042351,30.454946,2021-03-28,1.0,0,,2021
131,2986,32.388200000000005,10.60986,2020-12-09,0.0,1,PseudoAbsence,2020
1221,2177,39.1882,-2.3901400000000024,2020-07-05,0.0,1,PseudoAbsence,2020
2192,4682,66.5882,31.209860000000003,2020-11-28,0.0,1,PseudoAbsence,2020
2594,14537,41.165367,28.505733,2020-05-14,1.0,0,,2020
2034,3188,28.288200000000003,-9.090139999999998,2020-10-05,0.0,1,PseudoAbsence,2020
3752,12314,40.610767,20.14435,2020-10-20,1.0,0,,2020
2328,12065,44.484167,15.092778,2020-08-17,1.0,0,,2020
4129,14664,38.79025,16.96422,2020-01-18,1.0,0,,2020
916,5632,25.088200000000008,-13.79014,2020-01-09,0.0,1,PseudoAbsence,2020
2847,8636,70.90675,32.60885,2020-06-12,1.0,0,,2020
850,1774,33.988200000000006,-13.390140000000002,2021-02-11,0.0,1,PseudoAbsence,2021
2889,11988,70.075278,27.832222,2020-04-10,1.0,0,,2020
3548,13746,38.480556,24.631667,2021-02-17,1.0,0,,2021
108,3953,33.6882,-6.69014,2020-08-17,0.0,1,PseudoAbsence,2020
3467,13522,38.5838,17.451784,2021-01-22,1.0,0,,2021
2254,9888,40.959484,20.12375,2021-01-05,1.0,0,,2021
4049,14719,43.31785,26.93235,2021-02-25,1.0,0,,2021
399,528,35.488200000000006,5.009860000000003,2021-01-28,0.0,1,PseudoAbsence,2021
4169,15139,57.587032,25.8417,2020-03-26,1.0,0,,2020
1673,6739,26.98820000000001,16.009860000000003,2020-12-30,0.0,1,PseudoAbsence,2020
467,6602,34.08820000000001,-21.79014,2021-02-20,0.0,1,PseudoAbsence,2021
2865,14468,57.590534,25.841516,2020-03-17,1.0,0,,2020
1472,5491,43.78820000000001,1.709859999999999,2020-01-07,0.0,1,PseudoAbsence,2020
204,2290,24.888200000000005,24.509860000000003,2020-04-27,0.0,1,PseudoAbsence,2020
1777,946,54.48820000000001,21.40986,2020-10-07,0.0,1,PseudoAbsence,2020
774,6681,35.58820000000001,7.709860000000003,2020-03-20,0.0,1,PseudoAbsence,2020
369,7391,75.28820000000002,35.50986,2020-04-23,0.0,1,PseudoAbsence,2020
646,2417,26.088200000000008,-14.29014,2020-02-18,0.0,1,PseudoAbsence,2020
2488,12102,38.6934,17.1615,2021-01-19,1.0,0,,2021
1982,3298,27.788200000000003,-11.490139999999997,2020-11-25,0.0,1,PseudoAbsence,2020
3428,12359,37.315278,25.023056,2021-01-23,1.0,0,,2021
1106,965,12.988200000000006,31.809860000000004,2021-03-16,0.0,1,PseudoAbsence,2021
383,506,48.888200000000005,18.509860000000003,2020-05-18,0.0,1,PseudoAbsence,2020
752,5350,-1.7117999999999969,16.10986,2020-09-12,0.0,1,PseudoAbsence,2020
929,939,-6.411799999999996,10.009860000000003,2020-02-21,0.0,1,PseudoAbsence,2020
477,534,76.0882,14.709860000000004,2021-03-27,0.0,1,PseudoAbsence,2021
3150,13482,58.570118,27.57685,2020-05-18,1.0,0,,2020
4175,12078,44.67,16.27139,2020-08-20,1.0,0,,2020
32,4489,31.788200000000003,-8.090139999999998,2020-12-18,0.0,1,PseudoAbsence,2020
1657,3263,23.98820000000001,11.509860000000003,2021-03-19,0.0,1,PseudoAbsence,2021
2720,12553,75.185833,28.596389,2020-08-03,1.0,0,,2020
901,4478,34.2882,-17.69014,2020-07-06,0.0,1,PseudoAbsence,2020
3886,11604,48.42557,10.7017,2020-06-25,1.0,0,,2020
2208,6117,23.888200000000005,-5.590139999999998,2021-01-21,0.0,1,PseudoAbsence,2021
3891,13088,73.296584,28.289132,2020-07-25,1.0,0,,2020
1031,474,-9.911799999999998,26.609860000000005,2020-09-11,0.0,1,PseudoAbsence,2020
2139,6468,37.388200000000005,14.30986,2020-10-22,0.0,1,PseudoAbsence,2020
2426,10113,39.508876,29.886579,2021-04-08,1.0,0,,2021
4058,10984,39.035267,22.982416,2021-02-21,1.0,0,,2021
2895,8970,57.730556,23.764722,2020-03-22,1.0,0,,2020
436,1382,20.6882,9.10986,2020-04-22,0.0,1,PseudoAbsence,2020
1832,4525,34.2882,-18.29014,2021-03-11,0.0,1,PseudoAbsence,2021
162,2702,45.6882,27.90986,2020-07-30,0.0,1,PseudoAbsence,2020
1992,2606,-2.2117999999999967,19.009860000000003,2020-07-17,0.0,1,PseudoAbsence,2020
3095,8292,50.014444,30.256389,2020-03-09,1.0,0,,2020
3123,11258,38.92915,-0.95926,2021-02-04,1.0,0,,2021
1479,3070,-2.6117999999999952,13.80986,2020-04-15,0.0,1,PseudoAbsence,2020
2220,5126,14.988200000000006,30.009860000000003,2021-02-09,0.0,1,PseudoAbsence,2021
2777,9347,58.567222,23.439444,2020-03-25,1.0,0,,2020
