plot_id,sample_id,lon,lat,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,Crop/ or not
139457944,543841471,29.22093191,-0.867935506,FALSE,2021-04-13 8:57,12.9 secs,Mapbox Satellite,,POINT(29.220931912 -0.867935506),Non-crop
139457945,543841472,30.90143182,-1.497424228,FALSE,2021-04-13 9:39,21.8 secs,Mapbox Satellite,,POINT(30.901431821 -1.497424228),Non-crop
139457946,543841473,28.53732489,-1.759318017,FALSE,2021-04-13 9:43,5.5 secs,Mapbox Satellite,,POINT(28.537324894 -1.759318017),Non-crop
139457947,543841474,29.16731024,-2.235693169,FALSE,2021-04-13 9:43,6.1 secs,Mapbox Satellite,,POINT(29.167310239 -2.235693169),Non-crop
139457948,543841476,28.95731512,-1.128458256,FALSE,2021-04-13 9:44,43.5 secs,Mapbox Satellite,,POINT(28.957315124 -1.128458256),Cropland
139457949,543841477,28.53930119,-1.18638002,FALSE,2021-04-13 9:44,9.8 secs,Mapbox Satellite,,POINT(28.539301188 -1.18638002),Non-crop
139457950,543841478,29.69238786,-1.339661895,FALSE,2021-04-13 9:44,8.3 secs,Mapbox Satellite,,POINT(29.692387858 -1.339661895),Cropland
139457951,543841479,30.90089283,-1.758779282,FALSE,2021-04-13 9:44,6.9 secs,Mapbox Satellite,,POINT(30.900892832 -1.758779282),Non-crop
139457952,543841480,29.593948,-2.915554404,FALSE,2021-04-13 9:45,12.3 secs,Mapbox Satellite,,POINT(29.593948002 -2.915554404),Non-crop
139457953,543841485,29.90867118,-1.398117781,FALSE,2021-04-13 9:46,5.7 secs,Mapbox Satellite,,POINT(29.90867118 -1.398117781),Cropland
139457954,543841486,30.95289754,-1.187996641,FALSE,2021-04-13 9:46,13.0 secs,Mapbox Satellite,,POINT(30.952897538 -1.187996641),Cropland
139457955,543841487,30.27018884,-1.555157659,FALSE,2021-04-13 9:47,13.5 secs,Mapbox Satellite,,POINT(30.270188835 -1.555157659),Cropland
139457956,543841488,30.16528111,-2.393913641,FALSE,2021-04-13 9:47,6.6 secs,Mapbox Satellite,,POINT(30.165281109 -2.393913641),Non-crop
139457957,543847340,30.90161149,-2.498725745,FALSE,2021-04-13 11:38,6697.6 secs,Mapbox Satellite,,POINT(30.901611485 -2.498725745),Non-crop
139457958,543847341,29.95564532,-0.870091215,FALSE,2021-04-13 11:39,8.0 secs,Mapbox Satellite,,POINT(29.95564532 -0.870091215),Cropland
139457959,543847342,28.85168875,-1.551924912,FALSE,2021-04-13 11:39,13.4 secs,Mapbox Satellite,,POINT(28.851688746 -1.551924912),Cropland
139457960,543847343,28.96288468,-1.022311603,FALSE,2021-04-13 11:39,4.0 secs,Mapbox Satellite,,POINT(28.962884679 -1.022311603),Non-crop
139457961,543847344,30.79993769,-1.024467216,FALSE,2021-04-13 11:41,103.2 secs,Mapbox Satellite w/ Labels,,POINT(30.799937694 -1.024467216),Cropland
139457962,543847345,30.59263752,-2.286221202,FALSE,2021-04-13 11:43,144.9 secs,Mapbox Satellite,,POINT(30.592637524 -2.286221202),Non-crop
139457963,543847346,28.7512726,-1.285695065,FALSE,2021-04-13 11:43,2.7 secs,Mapbox Satellite,,POINT(28.751272596 -1.285695065),Non-crop
139457964,543847347,30.68964008,-1.023748678,FALSE,2021-04-13 11:43,6.2 secs,Mapbox Satellite,,POINT(30.689640076 -1.023748678),Cropland
139457965,543847348,29.43236433,-1.078798386,FALSE,2021-04-13 11:44,19.9 secs,Mapbox Satellite,,POINT(29.432364332 -1.078798386),Non-crop
139457966,543847349,29.69741842,-2.18013648,FALSE,2021-04-13 11:44,4.3 secs,Mapbox Satellite,,POINT(29.697418424 -2.18013648),Cropland
139457967,543847350,30.85355937,-2.759552181,FALSE,2021-04-13 11:44,19.5 secs,Mapbox Satellite,,POINT(30.853559366 -2.759552181),Non-crop
139457968,543847351,30.37473724,-1.238373082,FALSE,2021-04-13 11:44,2.6 secs,Mapbox Satellite,,POINT(30.374737235 -1.238373082),Cropland
139457969,543847352,30.7459567,-2.606042166,FALSE,2021-04-13 11:45,23.5 secs,Mapbox Satellite,,POINT(30.745956695 -2.606042166),Non-crop
139457970,543847353,28.43798672,-1.025365387,FALSE,2021-04-13 11:45,2.3 secs,Mapbox Satellite,,POINT(28.437986723 -1.025365387),Non-crop
139457971,543847354,30.01286025,-2.811136545,FALSE,2021-04-13 11:45,8.5 secs,Mapbox Satellite,,POINT(30.012860254 -2.811136545),Non-crop
139457972,543847355,29.80412278,-1.602473154,FALSE,2021-04-13 11:45,8.9 secs,Mapbox Satellite,,POINT(29.80412278 -1.602473154),Non-crop
139457973,543847356,28.53570793,-0.818271799,FALSE,2021-04-13 11:46,5.2 secs,Mapbox Satellite,,POINT(28.535707927 -0.818271799),Non-crop
139457974,543847357,29.32637863,-1.865071125,FALSE,2021-04-13 11:47,4.7 secs,Mapbox Satellite,,POINT(29.326378627 -1.865071125),Non-crop
139457975,543847358,29.58748013,-3.02373025,FALSE,2021-04-13 11:47,7.3 secs,Mapbox Satellite,,POINT(29.587480132 -3.02373025),Cropland
139457976,543847359,30.47910597,-1.026982096,FALSE,2021-04-13 11:48,62.7 secs,Mapbox Satellite,,POINT(30.479105972 -1.026982096),Non-crop
139457977,543847360,30.79742241,-0.975344602,FALSE,2021-04-13 11:48,7.9 secs,Mapbox Satellite,,POINT(30.797422411 -0.975344602),Non-crop
139457978,543847361,29.2788655,-1.549769745,FALSE,2021-04-13 11:48,2.6 secs,Mapbox Satellite,,POINT(29.278865498 -1.549769745),Non-crop
139457979,543847362,29.64038315,-2.763500178,FALSE,2021-04-13 11:48,7.3 secs,Mapbox Satellite,,POINT(29.640383153 -2.763500178),Cropland
139457980,543847363,30.38228308,-1.92225481,FALSE,2021-04-13 11:51,146.3 secs,Mapbox Satellite,,POINT(30.382283083 -1.92225481),Non-crop
139457981,543847364,28.54253512,-1.653199737,FALSE,2021-04-13 11:51,2.1 secs,Mapbox Satellite,,POINT(28.542535123 -1.653199737),Non-crop
139457982,543847365,29.69544213,-1.969022308,FALSE,2021-04-13 11:51,12.4 secs,Mapbox Satellite,,POINT(29.69544213 -1.969022308),Non-crop
139457983,543847366,28.5401995,-2.650633726,FALSE,2021-04-13 11:51,4.4 secs,Mapbox Satellite,,POINT(28.540199503 -2.650633726),Non-crop
