plot_id,sample_id,lon,lat,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,Crop/ or not,Confidence level
139241384,540531505,29.22093191,-0.867935506,FALSE,2021-03-06 18:12,63.7 secs,Mapbox Satellite,,POINT(29.220931912 -0.867935506),Cropland,somewhat confident
139241385,540531506,30.90143182,-1.497424228,FALSE,2021-03-06 18:13,11.4 secs,Mapbox Satellite,,POINT(30.901431821 -1.497424228),Non-crop,fairly confident
139241386,540531507,28.53732489,-1.759318017,FALSE,2021-03-06 18:13,8.0 secs,Mapbox Satellite,,POINT(28.537324894 -1.759318017),Non-crop,completely confident
139241387,540531508,29.16731024,-2.235693169,FALSE,2021-03-06 18:13,8.0 secs,Mapbox Satellite,,POINT(29.167310239 -2.235693169),Non-crop,completely confident
139241388,540531509,28.95731512,-1.128458256,FALSE,2021-03-06 18:14,63.9 secs,Mapbox Satellite,,POINT(28.957315124 -1.128458256),Cropland,fairly confident
139241389,540531510,28.53930119,-1.18638002,FALSE,2021-03-06 18:14,8.8 secs,Mapbox Satellite,,POINT(28.539301188 -1.18638002),Non-crop,completely confident
139241390,540531511,29.69238786,-1.339661895,FALSE,2021-03-06 18:15,65.5 secs,Mapbox Satellite,,POINT(29.692387858 -1.339661895),Cropland,somewhat confident
139241391,540531512,30.90089283,-1.758779282,FALSE,2021-03-06 18:16,19.2 secs,Mapbox Satellite,,POINT(30.900892832 -1.758779282),Non-crop,fairly confident
139241392,540531513,29.593948,-2.915554404,FALSE,2021-03-06 18:16,16.0 secs,Mapbox Satellite,,POINT(29.593948002 -2.915554404),Non-crop,fairly confident
139241393,540531514,29.90867118,-1.398117781,FALSE,2021-03-06 18:16,29.5 secs,Mapbox Satellite,,POINT(29.90867118 -1.398117781),Cropland,fairly confident
139241394,540531515,30.95289754,-1.187996641,FALSE,2021-03-06 18:17,25.3 secs,Mapbox Satellite,,POINT(30.952897538 -1.187996641),Cropland,fairly confident
139241395,540531516,30.27018884,-1.555157659,FALSE,2021-03-06 18:17,37.5 secs,Mapbox Satellite,,POINT(30.270188835 -1.555157659),Cropland,fairly confident
139241396,540531517,30.16528111,-2.393913641,FALSE,2021-03-06 18:18,44.0 secs,Mapbox Satellite,,POINT(30.165281109 -2.393913641),Cropland,fairly confident
139241397,540531518,30.90161149,-2.498725745,FALSE,2021-03-06 18:19,29.8 secs,Mapbox Satellite,,POINT(30.901611485 -2.498725745),Non-crop,fairly confident
139241398,540531519,29.95564532,-0.870091215,FALSE,2021-03-06 18:19,51.8 secs,Mapbox Satellite,,POINT(29.95564532 -0.870091215),Cropland,somewhat confident
139241399,540531520,28.85168875,-1.551924912,FALSE,2021-03-06 18:20,63.2 secs,Mapbox Satellite,,POINT(28.851688746 -1.551924912),Non-crop,slightly confident
139241400,540531521,28.96288468,-1.022311603,FALSE,2021-03-06 18:21,37.7 secs,Mapbox Satellite,,POINT(28.962884679 -1.022311603),Non-crop,completely confident
139241401,540531522,30.79993769,-1.024467216,FALSE,2021-03-06 18:22,63.7 secs,Mapbox Satellite,,POINT(30.799937694 -1.024467216),Cropland,fairly confident
139241402,540531523,30.59263752,-2.286221202,FALSE,2021-03-06 18:31,544.6 secs,Mapbox Satellite,,POINT(30.592637524 -2.286221202),Non-crop,slightly confident
139241403,540531524,28.7512726,-1.285695065,FALSE,2021-03-06 18:31,6.3 secs,Mapbox Satellite,,POINT(28.751272596 -1.285695065),Non-crop,completely confident
139241404,540531525,30.68964008,-1.023748678,FALSE,2021-03-06 18:33,113.2 secs,Mapbox Satellite,,POINT(30.689640076 -1.023748678),Cropland,fairly confident
139241405,540531526,29.43236433,-1.078798386,FALSE,2021-03-06 18:36,186.5 secs,Mapbox Satellite,,POINT(29.432364332 -1.078798386),Non-crop,completely confident
139241406,540531527,29.69741842,-2.18013648,FALSE,2021-03-06 18:37,18.5 secs,Mapbox Satellite,,POINT(29.697418424 -2.18013648),Cropland,completely confident
139241407,540531528,30.85355937,-2.759552181,FALSE,2021-03-06 18:37,16.4 secs,Mapbox Satellite,,POINT(30.853559366 -2.759552181),Non-crop,fairly confident
139241408,540531529,30.37473724,-1.238373082,FALSE,2021-03-06 18:37,7.4 secs,Mapbox Satellite,,POINT(30.374737235 -1.238373082),Cropland,completely confident
139241409,540531530,30.7459567,-2.606042166,FALSE,2021-03-06 18:41,213.4 secs,Mapbox Satellite,,POINT(30.745956695 -2.606042166),Cropland,slightly confident
139241410,540531531,28.43798672,-1.025365387,FALSE,2021-03-06 18:41,5.8 secs,Mapbox Satellite,,POINT(28.437986723 -1.025365387),Non-crop,completely confident
139241411,540531532,30.01286025,-2.811136545,FALSE,2021-03-06 20:49,7680.3 secs,Mapbox Satellite,,POINT(30.012860254 -2.811136545),Non-crop,fairly confident
139241412,540531533,29.80412278,-1.602473154,FALSE,2021-03-06 20:49,11.1 secs,Mapbox Satellite,,POINT(29.80412278 -1.602473154),Cropland,fairly confident
139241413,540531534,28.53570793,-0.818271799,FALSE,2021-03-06 20:49,5.2 secs,Mapbox Satellite,,POINT(28.535707927 -0.818271799),Non-crop,completely confident
139241414,540531535,29.32637863,-1.865071125,FALSE,2021-03-06 20:49,12.1 secs,Mapbox Satellite,,POINT(29.326378627 -1.865071125),Non-crop,fairly confident
139241415,540531536,29.58748013,-3.02373025,FALSE,2021-03-06 21:25,2152.1 secs,Mapbox Satellite,,POINT(29.587480132 -3.02373025),Non-crop,fairly confident
139241416,540531537,30.47910597,-1.026982096,FALSE,2021-03-06 21:26,27.0 secs,Mapbox Satellite,,POINT(30.479105972 -1.026982096),Cropland,fairly confident
139241417,540531538,30.79742241,-0.975344602,FALSE,2021-03-06 21:26,40.9 secs,Mapbox Satellite,,POINT(30.797422411 -0.975344602),Cropland,somewhat confident
139241418,540531539,29.2788655,-1.549769745,FALSE,2021-03-06 21:26,4.4 secs,Mapbox Satellite,,POINT(29.278865498 -1.549769745),Non-crop,completely confident
139241419,540531540,29.64038315,-2.763500178,FALSE,2021-03-06 21:27,23.9 secs,Mapbox Satellite,,POINT(29.640383153 -2.763500178),Non-crop,fairly confident
139241420,540531541,30.38228308,-1.92225481,FALSE,2021-03-06 21:27,26.7 secs,Mapbox Satellite,,POINT(30.382283083 -1.92225481),Cropland,not confident
139241421,540531542,28.54253512,-1.653199737,FALSE,2021-03-06 21:27,5.1 secs,Mapbox Satellite,,POINT(28.542535123 -1.653199737),Non-crop,fairly confident
139241422,540531543,29.69544213,-1.969022308,FALSE,2021-03-06 21:28,57.8 secs,Mapbox Satellite,,POINT(29.69544213 -1.969022308),Non-crop,slightly confident
139241423,540531544,28.5401995,-2.650633726,FALSE,2021-03-06 21:28,14.0 secs,Mapbox Satellite,,POINT(28.540199503 -2.650633726),Non-crop,fairly confident
139241424,540531545,28.43439346,-1.239989671,FALSE,2021-03-06 21:29,6.7 secs,Mapbox Satellite,,POINT(28.434393462 -1.239989671),Non-crop,completely confident
139241425,540531546,29.95438768,-1.498322237,FALSE,2021-03-06 21:29,15.0 secs,Mapbox Satellite,,POINT(29.954387679 -1.498322237),Non-crop,fairly confident
