,Input,Label
0,train/chips/chip_20200701_S30_T37MET_2020151T072621_3_9.tif,seg_map_20200201_S30_T35LME_2020003T081331_0_11.tif
1,train/chips/chip_20200401_S30_T40RBQ_2020062T065801_2_4.tif,seg_map_20201101_L30_T35LNH_2020278T081648_12_10.tif
2,train/chips/chip_20201001_L30_T35LPK_2020246T081614_6_0.tif,seg_map_20200501_L30_T37PGL_2020092T073330_9_1.tif
3,train/chips/chip_20210201_S30_T37MDU_2020366T073219_13_0.tif,seg_map_20200401_L30_T42RXR_2020060T054943_0_3.tif
4,train/chips/chip_20210201_S30_T37RDH_2021004T080331_7_11.tif,seg_map_20200301_S30_T32QMK_2020031T100139_8_14.tif
5,train/chips/chip_20200801_S30_T38PMB_2020186T072619_6_4.tif,seg_map_20201101_S30_T42RXV_2020274T055641_11_6.tif
6,train/chips/chip_20200701_S30_T38RNR_2020151T072621_10_1.tif,seg_map_20200701_S30_T42RYN_2020151T054641_1_9.tif
7,train/chips/chip_20200401_S30_T34PDR_2020063T085749_9_13.tif,seg_map_20210201_S30_T33RVP_2021004T094411_14_11.tif
8,train/chips/chip_20210301_S30_T43PFS_2021031T052039_2_10.tif,seg_map_20200401_S30_T41RKK_2020063T062741_11_0.tif
9,train/chips/chip_20210101_L30_T36NYL_2020337T075354_11_6.tif,seg_map_20201001_S30_T37QFC_2020247T074621_10_10.tif
10,train/chips/chip_20200601_S30_T32NLN_2020123T095031_4_11.tif,seg_map_20210101_L30_T37QDU_2020337T075042_10_0.tif
11,train/chips/chip_20200201_S30_T29PQM_2020003T104339_12_13.tif,seg_map_20210101_L30_T37QDV_2020337T075019_8_10.tif
12,train/chips/chip_20200601_S30_T30NZN_2020122T102031_4_5.tif,seg_map_20200501_S30_T39QTA_2020090T070619_11_7.tif
13,train/chips/chip_20200401_S30_T30PWA_2020060T102849_6_10.tif,seg_map_20201001_L30_T34JFM_2020246T082213_10_14.tif
14,train/chips/chip_20200701_S30_T30QWG_2020153T103629_12_14.tif,seg_map_20210201_S30_T37QEF_2021001T075331_0_8.tif
15,train/chips/chip_20200801_S30_T36MWT_2020182T074619_11_5.tif,seg_map_20210301_L30_T36KXE_2021030T074131_5_3.tif
16,train/chips/chip_20210401_S30_T37QCA_2021059T075849_8_9.tif,seg_map_20210201_S30_T38RLQ_2021003T074219_4_2.tif
17,train/chips/chip_20200701_L30_T36KXF_2020156T074055_5_8.tif,seg_map_20200601_L30_T39PTM_2020121T070159_2_2.tif
18,train/chips/chip_20201201_S30_T33MUS_2020306T091129_3_9.tif,seg_map_20210201_S30_T37RDH_2021004T080331_7_11.tif
19,train/chips/chip_20200301_S30_T32QMK_2020031T100139_8_14.tif,seg_map_20200401_S30_T37NBB_2020064T073801_12_14.tif
20,train/chips/chip_20200101_S30_T38NLG_2019338T072249_9_1.tif,seg_map_20200301_S30_T40QFL_2020031T064109_8_1.tif
21,train/chips/chip_20200301_S30_T42RWS_2020029T060059_1_6.tif,seg_map_20200701_S30_T38RNR_2020151T072621_10_1.tif
22,train/chips/chip_20200301_S30_T40QEM_2020031T064109_11_10.tif,seg_map_20201201_S30_T36PVS_2020308T081109_4_4.tif
23,train/chips/chip_20201101_S30_T42RXV_2020274T055641_11_6.tif,seg_map_20210101_S30_T37RCH_2020335T080309_4_4.tif
24,train/chips/chip_20200401_S30_T35RKH_2020060T084809_12_13.tif,seg_map_20200801_S30_T43REM_2020183T053649_2_4.tif
25,train/chips/chip_20200501_S30_T37RGM_2020092T074609_1_6.tif,seg_map_20200801_S30_T43REM_2020183T053649_2_5.tif
26,train/chips/chip_20200201_S30_T35LME_2020003T081331_0_11.tif,seg_map_20201001_S30_T37PCR_2020247T074621_3_2.tif
27,train/chips/chip_20210301_S30_T34PHT_2021031T084109_3_3.tif,seg_map_20210301_S30_T39RVP_2021032T072131_1_4.tif
28,train/chips/chip_20200901_L30_T29RMK_2020216T111128_1_8.tif,seg_map_20200301_S30_T40REP_2020031T064109_8_6.tif
29,train/chips/chip_20200301_S30_T39RVP_2020033T072119_0_7.tif,seg_map_20210201_S30_T37MDU_2020366T073219_13_0.tif
30,train/chips/chip_20201201_S30_T31SEV_2020305T103201_9_0.tif,seg_map_20210301_S30_T38KPE_2021028T071209_5_3.tif
31,train/chips/chip_20200401_S30_T41RKK_2020063T062741_11_0.tif,seg_map_20200601_S30_T32NLN_2020123T095031_4_11.tif
32,train/chips/chip_20200601_L30_T42SXB_2020124T054800_11_13.tif,seg_map_20200401_S30_T30PWA_2020060T102849_6_10.tif
