Input,Label
hls_train/hls_train/chips/chip_20191201_L30_T39PXT_2019303T065532_2_9.tif,hls_train/hls_train/seg_maps/seg_map_20191201_L30_T39PXT_2019303T065532_2_9.tif
hls_train/hls_train/chips/chip_20171101_S30_T37QGA_2017274T075159_10_10.tif,hls_train/hls_train/seg_maps/seg_map_20171101_S30_T37QGA_2017274T075159_10_10.tif
hls_train/hls_train/chips/chip_20170201_L30_T42RXR_2017003T054957_4_3.tif,hls_train/hls_train/seg_maps/seg_map_20170201_L30_T42RXR_2017003T054957_4_3.tif
hls_train/hls_train/chips/chip_20161101_L30_T43RCL_2016275T053737_7_9.tif,hls_train/hls_train/seg_maps/seg_map_20161101_L30_T43RCL_2016275T053737_7_9.tif
hls_train/hls_train/chips/chip_20180301_L30_T42RYQ_2018031T054351_11_0.tif,hls_train/hls_train/seg_maps/seg_map_20180301_L30_T42RYQ_2018031T054351_11_0.tif
hls_train/hls_train/chips/chip_20161001_L30_T29RMM_2016246T110508_5_7.tif,hls_train/hls_train/seg_maps/seg_map_20161001_L30_T29RMM_2016246T110508_5_7.tif
hls_train/hls_train/chips/chip_20191101_S30_T36QZK_2019273T080729_0_0.tif,hls_train/hls_train/seg_maps/seg_map_20191101_S30_T36QZK_2019273T080729_0_0.tif
hls_train/hls_train/chips/chip_20200901_S30_T37QGB_2020214T073621_12_0.tif,hls_train/hls_train/seg_maps/seg_map_20200901_S30_T37QGB_2020214T073621_12_0.tif
hls_train/hls_train/chips/chip_20190501_S30_T40RGP_2019091T063631_5_8.tif,hls_train/hls_train/seg_maps/seg_map_20190501_S30_T40RGP_2019091T063631_5_8.tif
hls_train/hls_train/chips/chip_20160501_L30_T40RDP_2016089T063940_4_2.tif,hls_train/hls_train/seg_maps/seg_map_20160501_L30_T40RDP_2016089T063940_4_2.tif
hls_train/hls_train/chips/chip_20191001_S30_T28QEK_2019243T113319_2_10.tif,hls_train/hls_train/seg_maps/seg_map_20191001_S30_T28QEK_2019243T113319_2_10.tif
hls_train/hls_train/chips/chip_20200401_S30_T37QDA_2020062T074829_0_11.tif,hls_train/hls_train/seg_maps/seg_map_20200401_S30_T37QDA_2020062T074829_0_11.tif
